,Artist,Song,Capo,Memorized,Notes,Recording,Chords,Key
,Blink 182,Dammit,,,,,DAMMIT CHORDS (ver 2) by Blink-182 @ Ultimate-Guitar.Com,
,"Blow, The ",Parenthesis,,,,,PARENTHESES CHORDS by The Blow @ Ultimate-Guitar.Com,
,"Blow, The ",True Affection,,,,,TRUE AFFECTION CHORDS by The Blow @ Ultimate-Guitar.Com,
,Blossom Dearie,Rhode Island Is Famous For You,,,,,RHODE ISLAND IS FAMOUS FOR YOU CHORDS by Blossom Dearie @ Ultimate-Guitar.Com,
,Blush Face / Allie Smith,Love For A Ghost,,,,,,
,Blush Face / Allie Smith,Graceland,,,,,,
,Bob Dylan,Blowin' In The Wind,,,,,,
,Bob Seger,Old Time Rock And Roll,,,promising!,snippet,OLD TIME ROCK AND ROLL CHORDS (ver 7) by Bob Seger @ Ultimate-Guitar.Com,
,Bright Eyes,First Day Of My Life,,,,,FIRST DAY OF MY LIFE CHORDS by Bright Eyes @ Ultimate-Guitar.Com,
,Bright Eyes,Land Locked Blues,,,,,LAND LOCKED BLUES CHORDS by Bright Eyes @ Ultimate-Guitar.Com,
,Bright Eyes,Lua,,,,,https://tabs.ultimate-guitar.com/tab/bright-eyes/lua-chords-391832,
,Bruce Springsteen,Dancin' In The Dark,,,but like the guy from The Voice did it,,DANCING IN THE DARK CHORDS (ver 5) by Bruce Springsteen @ Ultimate-Guitar.Com,
,Buffalo Springfield,For What It's Worth (stop hey what's that sound),,,too low? capo?,lyrics reworked after george floyd,,
,Bush,Glycerine,c2,,bumped up from c0,https://drive.google.com/file/d/1dbXySvmVu7t5V33-VQgYkKAvECsY5cT-/view?usp=sharing,https://tabs.ultimate-guitar.com/tab/bush/glycerine-chords-61459,
,Cake,Italian Leather Sofa,,,,,ITALIAN LEATHER SOFA CHORDS by CAKE @ Ultimate-Guitar.Com,
